specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,t,D1,D2,r,B1,B2,d1,d2,L,n,fy,Pt
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ITF,C,1.16,201,201,14,61,61.1,27.9,28.4,1220,63.5,328,6.72
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-100-ITF,C,1.16,201,201,14,60.2,60.6,27.8,28.3,1220,101,328,7.08
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ITF,C,1.45,300,300,7,45.3,46.1,16.3,17,1500,30,448,11
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ITF,C,1.45,300,300,7,46.8,46.8,15.9,15.8,1500,63.5,448,11.6
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ITF,C,1.45,299,300,10,45.4,46.7,17.4,18.6,1500,30,448,9.99
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ITF,C,1.45,300,300,10,48.7,48.6,19.4,19.1,1500,63.5,448,10.9
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ITF,C,1.45,300,300,14,51.7,51.8,18.5,18.6,1500,63.5,448,11.3
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-100-ITF,C,1.45,300,300,14,50.9,50.8,19.6,18.9,1500,101,448,10.6
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ETF,Z,1.45,120,120,7,45.8,45.8,28,27.4,610,30,332,5.43
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ETF,Z,1.45,120,120,7,45.8,45.8,28,27.4,610,63.5,332,6.18
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ETF,Z,1.45,120,120,10,45.4,45.9,30.1,29.2,610,30,332,5.31
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ETF,Z,1.45,120,120,10,45.4,45.9,30.1,29.2,610,63.5,332,6.09
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF,Z,1.45,120,120,14,51.4,51,29.5,28.3,610,30,332,5.25
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF,Z,1.45,120,120,14,51.4,51,29.5,28.3,610,63.5,332,5.85
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ETF,Z,1.16,200,200,7,50.7,50.2,32.6,32.7,1220,30,323,2.73
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ETF,Z,1.16,200,200,7,50.7,50.2,32.6,32.7,1220,63.5,323,2.88
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ETF,Z,1.16,200,200,10,56.5,56.2,31.3,30.2,1220,30,323,2.64
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ETF,Z,1.16,200,200,10,56.5,56.2,31.3,30.2,1220,63.5,323,2.67
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ETF,Z,1.16,203,203,14,60.7,60.8,28.1,29.6,1220,30,323,2.64
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ETF,Z,1.16,203,203,14,60.7,60.8,28.1,29.6,1220,30,323,2.58
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ETF,Z,1.45,300,300,7,44.8,45.2,16.5,16.8,1500,30,446,3.36
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ETF,Z,1.45,300,300,7,44.8,45.2,16.5,16.8,1500,63.5,446,3.78
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ETF,Z,1.45,300,300,10,46.7,46.5,19.3,19.4,1500,30,446,3.3
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ETF,Z,1.45,300,300,10,46.7,46.5,19.3,19.4,1500,63.5,446,3.69
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ETF,Z,1.45,300,300,14,50.1,50.1,18.8,18.6,1500,30,446,3.36
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ETF,Z,1.45,300,300,14,50.1,50.1,18.8,18.6,1500,635,446,3.66
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ITF,Z,1.45,120,120,7,45.5,44.4,28,27.5,610,30,332,11.7
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ITF,Z,1.45,120,120,7,45.3,45,27.5,28.2,610,63.5,332,13.1
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ITF,Z,1.45,122,122,10,45.5,44.4,31.3,30.7,610,30,332,11.6
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ITF,Z,1.45,123,123,10,44.7,44.7,31.5,30.9,610,63.5,332,12.6
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ITF,Z,1.45,120,120,14,51,51.2,28.1,29.1,610,30,332,11.3
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-60-ITF,Z,1.45,120,120,14,52.2,52.1,28.5,28.2,610,63.5,426,15.1
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ITF,Z,1.16,200,200,7,50.5,50,32.9,32.3,1220,30,323,7.83
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ITF,Z,1.16,200,200,7,50.5,50.5,33.2,32.7,1220,63.5,323,8.16
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ITF,Z,1.16,198,198,10,54.5,55,31.6,30.5,1220,30,323,7.65
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ITF,Z,1.16,197,197,10,55.1,55.2,30.9,31.3,1220,63.5,323,7.86
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ITF,Z,1.16,200,200,14,59.2,60,29.8,28.4,1220,30,323,6.93
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ITF,Z,1.16,203,203,14,60.3,60.1,29.8,29.1,1220,63.5,323,7.65
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ITF,Z,1.45,300,300,7,45.3,45.4,17.3,17.3,1500,30,448,10.3
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ITF,Z,1.45,300,300,7,44.4,44.7,16.5,16.6,1500,63.5,448,10.8
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ITF,Z,1.45,300,300,10,46,46.1,19.2,19.7,1500,30,448,9.48
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ITF,Z,1.45,300,300,10,46.5,46.1,19.4,19.4,1500,63.5,448,9.78
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ITF,Z,1.45,300,300,14,49.9,49.6,19.4,18.7,1500,30,448,8.88
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ITF,Z,1.45,300,300,14,50.1,50.1,18.8,18.6,1500,63.5,448,9.99
