specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,loading_condition,t,D,r,B,d,L,n,fy,Pt
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ITF-b,Z,ITF,1.16,197,10,55.2,31.3,1220,63.5,323,7.86
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ITF-a,Z,ITF,1.16,200,14,59.2,29.8,1220,30,323,6.93
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ITF-b,Z,ITF,1.16,200,14,60,28.4,1220,30,323,6.93
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ITF-a,Z,ITF,1.16,203,14,60.3,29.8,1220,63.5,323,7.65
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ITF-b,Z,ITF,1.16,203,14,60.1,29.1,1220,63.5,323,7.65
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ITF-a,Z,ITF,1.45,300,7,45.3,17.3,1500,30,448,10.3
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ITF-b,Z,ITF,1.45,300,7,45.4,17.3,1500,30,448,10.3
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ITF-a,Z,ITF,1.45,300,7,44.4,16.5,1500,63.5,448,10.8
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ITF-b,Z,ITF,1.45,300,7,44.7,16.6,1500,63.5,448,10.8
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ITF-a,Z,ITF,1.45,300,10,46,19.2,1500,30,448,9.48
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ITF-b,Z,ITF,1.45,300,10,46.1,19.7,1500,30,448,9.48
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ITF-a,Z,ITF,1.45,300,10,46.5,19.4,1500,63.5,448,9.78
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ITF-b,Z,ITF,1.45,300,10,46.1,19.4,1500,63.5,448,9.78
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ITF-a,Z,ITF,1.45,300,14,49.9,19.4,1500,30,448,8.88
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ITF-b,Z,ITF,1.45,300,14,49.6,18.7,1500,30,448,8.88
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ITF-a,Z,ITF,1.45,300,14,50.1,18.8,1500,63.5,448,9.99
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ITF-b,Z,ITF,1.45,300,14,50.1,18.6,1500,63.5,448,9.99
